Country	Track	Layout	Year	Grade	Length (KM)	Altitude (Meter)	Number of turns	DLC	Default date
Portugal	Cascais (Estoril)	Cascais Historic 1988	1988	Historic	4.350	130	11	Historical Tracks 1	1988-9-25
Portugal	Cascais (Estoril)	Cascais	2020	Grade 1	4.182	130	13		2020-3-26
Portugal	Cascais (Estoril)	Cascais Alternate	2020	Grade 3	4.157	130	11		2020-3-26
USA	Fontana	Auto Club Speedway Oval	2020	Grade 2	3.219	377	4	Racin´ USA 3	2022-5-30
USA	Fontana	Auto Club Speedway Sports Car Course	2020	Grade 2	4.509	377	17	Racin´ USA 3	2022-5-30
Brazil	Foz	Foz	2023	Off-road	0.910	164	8	Adrenaline 1	2023-4-23
Brazil	Galeao Airport	Galeao Airport	2022	Ungraded/Alternate	3.200	10	5		2022-4-10
USA	Gateway	WWT Raceway Oval	2022	Grade 2	2.012	120	4	Racin´ USA 3	2022-8-20
USA	Gateway	WWT Raceway Road Course (Short)	2022	Grade 2	2.575	120	10	Racin´ USA 3	2022-8-20
USA	Gateway	WWT Raceway Road Course (Long)	2022	Grade 2	3.219	120	14	Racin´ USA 3	2022-8-20
Brazil	Goiânia	Goiânia	2020	Grade 4	3.820	757	13		2020-3-29
Brazil	Goiânia	Goiânia External	2020	Ungraded/Alternate	2.590	757	5		2020-3-29
Brazil	Goiânia	Goiânia Short	2020	Ungraded/Alternate	1.910	757	7		2020-3-29
Brazil	Granja Viana	Copa São Paulo Stage 1	2020	Kart	1.000	797	12		2020-5-3
Brazil	Granja Viana	Copa São Paulo Kart Stage 2	2020	Kart	0.980	797	9		2020-5-3
Brazil	Granja Viana	Granja Viana Kart 101	2020	Kart	1.015	797	14		2020-5-3
Brazil	Granja Viana	Granja Viana Kart 102	2020	Kart	0.990	797	13		2020-5-3
Brazil	Granja Viana	Granja Viana Kart 121	2020	Kart	0.800	797	11		2020-5-3
Brazil	Guaporé	Guaporé	2020	Ungraded/Alternate	3.080	474	7		2020-5-9
Brazil	Guaporé	Guaporé STT	2020	Grade 3	3.080	474	7	Adrenaline 2	2020-5-9
Germany	Hockenheimring	Hockenheim Historic 1977	1977	Historic	6.789	102	13	Hockenheim Pack	1977-8-31
Germany	Hockenheimring	Hockenheim Historic 1988	1988	Historic	6.797	102	15	Hockenheim Pack	1988-8-31
Germany	Hockenheimring	Hockenheim Historic 1988 Short	1988	Historic Alternate	2.636	102	13	Hockenheim Pack	1988-7-30
Germany	Hockenheimring	Hockenheim Historic 2001	2001	Historic	6.823	102	16	Hockenheim Pack	2001-8-31
Germany	Hockenheimring	Hockenheim	2020	Grade 1	4.574	102	17	Hockenheim Pack	2020-8-27
Germany	Hockenheimring	Hockenheim National	2020	Ungraded/Alternate	3.692	102	16	Hockenheim Pack	2020-8-31
Germany	Hockenheimring	Hockenheim RX	2020	Off-road	1.122	102	17	Adrenaline 1	2023-8-27
Germany	Hockenheimring	Hockenheim Short A	2020	Ungraded/Alternate	2.638	102	11	Hockenheim Pack	2020-8-31
